转发数	评论数	点赞数	字数	类别
6	40	42	32 	正经
0	61	38	0 	正经
3	34	20	0 	正经
1	5	12	0 	活泼
3	45	54	0 	活泼
2	28	27	0 	活泼
1	51	37	63 	活泼
4	19	33	125 	正经
5	5	16	68 	正经
0	34	50	6 	正经
11	10	117	0 	活泼
9	57	45	154 	活泼
1	2	10	119 	正经
2	98	88	31 	正经
1	6	15	138 	正经
4	20	25	0 	活泼
0	48	36	61 	活泼
0	39	70	10 	活泼
13	32	144	0 	活泼
3	33	17	0 	活泼
4	31	37	54 	正经
7	37	34	112 	正经
6	14	29	75 	正经
11	39	35	0 	活泼
7	21	46	0 	活泼
1	2	80	0 	正经
8	50	85	0 	活泼
2	11	50	0 	活泼
4	8	55	0 	正经
18	68	112	0 	活泼
1	17	14	138 	正经
1	2	11	98 	正经
5	13	25	0 	活泼
2	29	26	0 	活泼
10	22	65	0 	活泼
5	15	17	92 	正经
6	21	49	0 	活泼
1	25	25	82 	正经
21	11	81	0 	正经
2	13	24	85 	正经
12	26	55	59 	正经
11	44	77	67 	活泼
7	35	43	74 	活泼
4	8	22	114 	正经
2	7	18	63 	正经
8	107	151	40 	正经
4	52	74	20 	活泼
0	16	18	0 	正经
7	34	83	0 	活泼
5	20	24	0 	活泼
9	18	28	699 	正经
0	4	12	137 	正经
4	12	31	138 	正经
2	51	52	56 	活泼
2	8	16	0 	活泼
0	11	19	0 	活泼
3	28	32	24 	正经
8	33	35	85 	活泼
0	5	13	127 	正经
1	6	18	0 	正经
6	9	37	0 	活泼
3	9	14	112 	活泼
6	32	87	24 	正经
3	57	27	55 	活泼
0	5	11	0 	活泼
1	14	17	0 	活泼
3	20	46	95 	活泼
0	31	21	70 	活泼
7	33	30	133 	正经
6	11	19	69 	正经
1	34	30	0 	活泼
8	46	48	52 	活泼
0	7	17	0 	活泼
0	16	54	0 	正经
2	17	20	115 	正经
4	26	35	133 	正经
1	59	59	38 	正经
3	52	45	0 	活泼
3	34	52	0 	活泼
7	65	69	26 	正经
4	47	44	67 	活泼
3	16	34	124 	正经
5	7	25	71 	正经
10	70	90	0 	活泼
21	134	70	50 	活泼
5	33	39	0 	活泼
3	61	52	0 	活泼
2	9	13	210 	正经
1	3	16	127 	正经
6	24	27	137 	正经
16	90	55	0 	活泼
0	13	30	31 	活泼
5	46	53	25 	活泼
2	27	37	64 	正经
8	10	16	0 	正经
0	52	27	69 	活泼
12	48	115	36 	正经
10	129	100	0 	活泼
7	20	36	113 	正经
5	11	30	71 	正经
8	51	111	66 	活泼
0	29	35	93 	活泼
1	14	24	0 	活泼
3	34	34	0 	活泼
6	48	42	0 	活泼
12	79	75	0 	活泼
7	10	36	0 	正经
7	44	33	0 	活泼
0	24	13	0 	活泼
19	35	41	0 	活泼
3	18	17	105 	正经
8	115	46	21 	活泼
5	69	48	0 	活泼
4	54	43	43 	活泼
4	24	15	53 	正经
0	33	26	79 	正经
6	112	67	71 	正经
10	39	24	202 	正经
0	81	63	72 	正经
5	27	31	110 	正经
2	7	24	110 	正经
3	6	29	70 	正经
248	242	358	0 	活泼
7	164	46	20 	活泼
0	35	40	40 	正经
2	14	12	138 	正经
4	59	31	0 	活泼
4	18	27	137 	正经
2	58	47	31 	正经
14	21	29	0 	活泼
160	214	150	54 	活泼
6	41	89	0 	正经
22	229	680	64 	活泼
10	65	102	0 	活泼
9	60	131	39 	正经
2	46	37	32 	活泼
7	129	84	37 	活泼
3	18	18	0 	活泼
6	46	46	65 	正经
4	8	28	138 	正经
5	6	20	82 	正经
7	82	75	119 	活泼
1	7	12	125 	正经
2	35	17	261 	正经
1	3	11	95 	正经
5	112	122	29 	活泼
9	29	26	138 	正经
3	16	27	0 	活泼
2	115	62	26 	正经
1	50	32	29 	正经
3	107	37	43 	活泼
6	48	34	138 	正经
5	10	29	77 	正经
6	23	46	96 	正经
8	93	99	37 	正经
19	208	92	21 	活泼
5	44	48	51 	活泼
0	11	19	98 	正经
6	25	40	138 	正经
27	110	79	172 	正经
17	6	56	0 	活泼
3	53	40	45 	活泼
4	32	58	0 	活泼
26	123	138	8 	正经
2	25	32	55 	活泼
0	2	13	0 	正经
6	29	30	0 	活泼
2	19	26	118 	正经
3	9	23	78 	正经
4	82	80	11 	活泼
2	62	55	70 	活泼
0	47	31	57 	活泼
0	54	67	29 	活泼
0	15	14	116 	正经
9	19	28	160 	正经
0	15	16	0 	活泼
2	28	21	74 	活泼
2	51	33	0 	活泼
2	23	27	312 	活泼
1	56	31	86 	活泼
23	17	31	0 	活泼
3	82	41	92 	活泼
1	31	25	0 	活泼
19	101	89	36 	活泼
5	14	30	113 	正经
6	11	20	83 	正经
17	105	95	23 	活泼
4	33	61	39 	活泼
15	190	100	10 	活泼
6	61	55	0 	活泼
5	24	36	74 	活泼
7	56	44	22 	活泼
3	30	38	0 	活泼
1	9	6	110 	正经
4	37	22	138 	正经
1	22	23	50 	活泼
8	93	122	41 	活泼
2	7	24	0 	活泼
3	33	19	30 	活泼
0	48	46	21 	正经
5	63	41	84 	正经
4	29	29	105 	正经
4	10	19	74 	正经
8	125	90	32 	活泼
4	55	46	0 	活泼
7	44	49	0 	活泼
1	17	18	0 	活泼
13	18	34	34 	活泼
0	43	41	100 	活泼
2	6	19	120 	正经
6	31	17	138 	正经
38	116	127	57 	活泼
2	93	100	36 	活泼
1	62	55	33 	活泼
9	219	98	54 	正经
10	27	41	124 	正经
5	9	21	66 	正经
14	93	64	76 	活泼
6	44	57	32 	活泼
1	13	19	91 	正经
1	44	54	49 	正经
1	13	15	105 	正经
7	33	26	156 	正经
2	24	22	189 	正经
7	36	34	0 	活泼
1	37	38	61 	活泼
4	132	63	40 	活泼
16	38	34	220 	正经
3	132	65	55 	活泼
0	45	30	66 	活泼
4	27	39	91 	正经
7	14	29	70 	正经
1	4	20	95 	正经
3	65	68	108 	活泼
10	57	111	64 	活泼
8	76	76	40 	活泼
2	46	55	0 	活泼
4	52	48	104 	正经
8	20	30	0 	正经
1	46	18	117 	正经
3	22	26	138 	正经
1	53	40	138 	活泼
1	57	47	117 	活泼
8	20	41	0 	活泼
1	26	19	85 	正经
8	131	54	129 	活泼
12	68	64	0 	活泼
1	42	33	31 	正经
1	7	14	81 	正经
8	117	41	118 	正经
5	24	32	70 	正经
29	19	73	40 	活泼
3	40	45	30 	正经
2	9	13	138 	正经
8	31	24	137 	正经
9	187	102	43 	活泼
0	75	49	32 	正经
2	53	45	0 	活泼
0	23	20	62 	正经
9	111	51	37 	正经
4	27	33	44 	正经
5	6	31	100 	正经
8	10	18	79 	正经
10	84	64	128 	活泼
5	43	47	0 	正经
1	26	40	0 	活泼
10	33	29	137 	正经
0	5	6	96 	正经
2	56	45	43 	活泼
9	98	93	98 	活泼
2	9	18	72 	正经
3	120	56	76 	活泼
0	51	51	9 	活泼
5	29	29	103 	正经
5	12	22	66 	正经
5	30	22	106 	正经
2	36	20	121 	正经
17	50	64	0 	活泼
1	12	15	115 	正经
43	67	148	0 	正经
7	17	26	137 	正经
62	297	253	13 	正经
18	66	31	64 	正经
17	90	108	22 	活泼
1	39	25	52 	活泼
4	41	19	0 	正经
11	25	16	126 	正经
3	44	27	103 	正经
5	24	28	95 	正经
10	17	31	67 	正经
5	48	71	0 	活泼
4	15	52	0 	正经
4	73	49	30 	活泼
1	10	15	72 	正经
2	47	15	138 	正经
20	230	175	19 	正经
11	66	26	138 	正经
20	86	88	24 	活泼
1	59	73	20 	活泼
8	83	51	18 	活泼
4	93	33	40 	活泼
6	29	18	77 	正经
45	35	130	0 	正经
3	48	40	28 	正经
1	58	35	29 	正经
5	81	36	32 	正经
10	43	30	105 	正经
9	27	21	79 	正经
7	56	55	35 	正经
13	80	60	60 	活泼
9	24	41	191 	活泼
2	11	14	112 	正经
4	21	22	136 	正经
1	52	38	21 	活泼
10	121	58	33 	活泼
4	127	57	26 	正经
17	122	69	124 	活泼
0	122	42	25 	活泼
1	34	41	21 	正经
4	26	32	92 	正经
4	11	22	78 	正经
2	29	23	0 	活泼
0	34	49	70 	活泼
10	60	50	55 	正经
6	105	192	47 	活泼
0	59	123	23 	活泼
2	32	63	21 	正经
11	63	44	121 	正经
1	39	48	42 	活泼
0	1	10	98 	正经
3	46	24	184 	正经
1	33	37	0 	活泼
5	98	49	0 	活泼
1	41	57	61 	正经
11	176	49	6 	活泼
7	34	37	107 	正经
9	16	39	81 	正经
68	297	117	0 	活泼
7	33	60	0 	活泼
18	93	112	0 	活泼
2	24	13	93 	正经
7	54	25	123 	正经
6	53	44	0 	活泼
5	57	108	27 	活泼
5	128	120	76 	活泼
1	16	18	21 	正经
11	59	74	32 	活泼
5	114	54	26 	活泼
1	72	29	33 	活泼
1	59	24	57 	正经
8	31	38	103 	正经
4	12	22	80 	正经
8	101	110	38 	活泼
4	42	17	138 	正经
7	13	21	66 	正经
4	40	23	110 	正经
0	49	27	25 	正经
4	73	33	29 	正经
74	123	174	0 	活泼
3	121	74	32 	正经
9	43	44	51 	正经
3	17	23	101 	正经
3	7	10	64 	正经
28	179	207	78 	正经
54	20	104	0 	活泼
2	40	70	49 	正经
0	17	20	86 	正经
6	19	44	137 	正经
2	26	76	0 	活泼
46	89	166	91 	活泼
1	27	46	34 	正经
3	66	70	17 	正经
2	101	66	69 	活泼
6	61	69	51 	正经
7	73	127	18 	正经
2	21	25	113 	正经
5	16	21	76 	正经
7	87	37	134 	正经
13	119	75	0 	活泼
5	63	50	0 	活泼
2	68	38	67 	正经
4	31	20	132 	正经
15	21	32	0 	正经
7	29	28	137 	正经
5	34	29	120 	正经
1	11	13	93 	正经
9	71	56	108 	活泼
21	132	73	94 	正经
3	84	36	285 	正经
0	15	18	0 	正经
17	70	107	0 	活泼
1	43	41	62 	正经
4	75	24	56 	正经
5	74	50	135 	正经
5	12	30	85 	正经
4	28	28	125 	正经
7	76	85	73 	活泼
16	121	129	65 	活泼
0	34	25	60 	活泼
2	29	14	117 	正经
0	23	16	88 	正经
4	61	21	137 	正经
5	81	49	61 	正经
22	181	54	89 	活泼
45	266	170	67 	正经
9	173	45	77 	活泼
14	81	52	58 	正经
9	45	55	104 	活泼
3	9	24	76 	正经
1	65	48	40 	正经
12	119	85	129 	活泼
3	26	18	131 	正经
2	104	45	37 	活泼
16	72	37	153 	正经
5	35	39	59 	正经
59	37	82	0 	活泼
10	93	42	171 	活泼
3	125	54	74 	活泼
83	412	176	84 	活泼
9	93	92	51 	活泼
5	5	31	138 	正经
4	7	24	94 	正经
50	238	234	23 	活泼
3	72	75	48 	正经
4	39	26	138 	正经
6	69	31	137 	正经
13	105	122	53 	活泼
2	81	31	0 	活泼
3	37	34	170 	正经
18	496	129	48 	活泼
2	86	42	42 	正经
2	91	58	42 	活泼
6	37	41	77 	正经
5	111	85	14 	活泼
1	51	52	41 	活泼
1	16	26	129 	正经
6	34	40	137 	正经
30	100	127	0 	活泼
2	51	53	66 	活泼
3	29	73	74 	活泼
3	5	26	70 	正经
3	76	120	42 	活泼
5	54	79	75 	活泼
0	43	48	0 	活泼
1	92	89	36 	活泼
4	45	39	134 	正经
7	20	34	134 	正经
4	6	22	72 	正经
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
