转发数	评论数	点赞数	字数	类别
4	40	57	54 	活泼
65	50	103	0 	活泼
2	29	36	102 	正经
3	11	20	66 	正经
7	60	125	13 	正经
5	60	110	25 	活泼
3	14	50	23 	活泼
0	1	12	99 	正经
5	20	28	97 	正经
3	50	41	53 	活泼
18	45	73	0 	活泼
5	67	70	93 	活泼
2	66	38	56 	正经
0	8	21	97 	正经
2	40	40	42 	正经
2	41	83	0 	活泼
2	16	30	120 	正经
2	10	26	74 	正经
9	69	97	20 	正经
8	55	59	28 	正经
13	6	59	0 	活泼
4	25	41	60 	活泼
1	12	12	104 	正经
3	46	49	68 	活泼
5	20	26	126 	正经
5	87	61	34 	活泼
3	86	51	51 	活泼
1	43	53	0 	活泼
9	80	46	47 	正经
0	50	12	61 	正经
5	86	47	21 	活泼
1	57	37	41 	活泼
2	17	34	69 	正经
3	8	45	117 	正经
5	11	28	78 	正经
2	64	37	37 	活泼
8	74	61	51 	正经
8	66	67	42 	活泼
0	94	45	34 	活泼
3	16	12	137 	正经
3	57	17	134 	正经
0	65	36	86 	活泼
1	17	13	94 	正经
0	44	18	81 	正经
0	107	30	41 	正经
23	101	181	0 	活泼
4	90	103	19 	正经
12	177	182	30 	活泼
4	99	28	86 	正经
3	29	26	83 	正经
3	47	27	0 	正经
6	46	65	38 	正经
3	18	34	125 	正经
5	16	23	81 	正经
16	46	89	0 	活泼
8	53	46	149 	活泼
4	89	50	0 	活泼
2	68	37	23 	活泼
18	162	230	28 	活泼
5	69	60	46 	正经
1	16	15	93 	正经
8	198	65	0 	活泼
7	23	30	122 	正经
10	93	30	43 	活泼
3	49	25	0 	活泼
6	92	60	33 	活泼
5	35	18	187 	正经
3	88	43	59 	活泼
4	40	53	0 	活泼
4	47	39	103 	正经
6	11	22	63 	正经
8	50	30	0 	活泼
4	88	81	66 	活泼
7	187	104	35 	活泼
0	10	9	100 	正经
10	68	29	138 	正经
8	95	86	75 	活泼
0	57	28	50 	正经
5	12	40	0 	正经
11	144	111	42 	活泼
4	119	138	58 	活泼
10	95	68	120 	活泼
3	44	46	128 	正经
6	14	22	63 	正经
71	60	161	0 	活泼
0	38	33	100 	活泼
1	41	43	43 	活泼
3	33	33	0 	活泼
5	69	74	127 	活泼
2	29	20	137 	正经
5	29	32	138 	正经
4	53	38	72 	活泼
6	9	18	0 	活泼
11	114	65	75 	活泼
5	55	66	0 	活泼
1	65	89	2 	正经
10	41	78	0 	活泼
33	124	209	44 	活泼
7	217	73	66 	活泼
12	218	84	100 	活泼
3	95	76	54 	活泼
11	41	48	34 	正经
1	17	27	136 	正经
3	12	17	66 	正经
29	271	220	14 	活泼
31	206	291	24 	活泼
11	126	92	21 	正经
2	117	30	23 	正经
8	94	65	39 	正经
8	119	193	23 	活泼
1	20	56	0 	活泼
0	15	14	121 	正经
5	48	59	0 	活泼
9	75	32	125 	正经
3	86	35	0 	活泼
18	53	37	29 	活泼
1	31	21	0 	活泼
8	17	20	0 	活泼
3	75	28	0 	活泼
7	72	43	75 	活泼
13	153	205	21 	正经
14	225	141	108 	活泼
5	99	33	0 	活泼
13	116	123	51 	活泼
3	65	45	0 	活泼
3	31	15	0 	活泼
19	132	83	138 	活泼
3	46	34	78 	正经
1	49	23	0 	活泼
9	98	36	80 	活泼
3	34	28	102 	正经
2	14	25	77 	正经
4	58	54	62 	正经
167	67	503	0 	正经
8	61	79	61 	活泼
5	14	69	0 	活泼
0	52	33	39 	活泼
26	61	231	0 	活泼
10	101	63	77 	活泼
2	72	13	128 	正经
12	124	42	51 	活泼
2	63	21	110 	正经
2	30	21	107 	正经
4	38	25	136 	正经
4	80	34	58 	活泼
2	174	217	30 	活泼
5	59	101	41 	活泼
17	143	189	50 	正经
1	73	67	43 	活泼
27	105	280	28 	活泼
26	34	92	0 	活泼
45	56	121	0 	活泼
2	23	16	56 	正经
2	87	46	36 	正经
0	31	20	102 	正经
2	51	20	69 	活泼
0	4	12	30 	活泼
6	37	19	47 	正经
3	50	24	75 	活泼
8	86	65	75 	活泼
5	40	41	78 	活泼
2	10	25	136 	正经
2	8	26	89 	正经
3	80	98	68 	活泼
4	33	81	41 	正经
7	60	59	91 	正经
3	85	47	61 	活泼
16	52	94	0 	正经
1	84	27	67 	活泼
1	56	49	83 	活泼
0	7	13	123 	正经
1	115	151	43 	活泼
6	49	30	138 	正经
3	175	48	50 	活泼
1	56	22	81 	正经
2	76	49	49 	活泼
30	91	42	0 	活泼
6	149	50	84 	活泼
1	48	53	35 	正经
8	71	57	68 	活泼
1	13	32	137 	正经
4	25	48	137 	正经
3	16	27	75 	正经
15	94	114	45 	活泼
4	53	68	67 	活泼
3	28	26	0 	活泼
6	22	44	0 	活泼
50	100	270	10 	正经
28	89	68	65 	活泼
12	109	59	0 	活泼
17	103	68	90 	活泼
0	20	16	138 	正经
10	53	26	118 	正经
11	265	73	32 	活泼
4	80	32	54 	正经
4	65	41	0 	活泼
3	124	47	29 	正经
9	84	129	0 	活泼
4	74	51	81 	活泼
3	96	73	97 	活泼
3	55	47	0 	活泼
11	70	46	32 	正经
6	76	61	77 	活泼
1	40	47	71 	活泼
3	23	40	128 	正经
7	10	21	77 	正经
7	117	94	55 	活泼
0	84	70	15 	正经
9	128	122	60 	活泼
6	26	38	41 	活泼
1	13	13	133 	正经
9	44	22	137 	正经
1	19	14	56 	正经
7	115	47	65 	活泼
0	41	21	0 	活泼
2	48	34	49 	活泼
5	95	39	59 	活泼
4	80	41	109 	正经
4	28	14	188 	正经
1	72	24	112 	正经
9	56	45	156 	活泼
11	124	34	50 	正经
3	60	39	162 	活泼
7	64	38	138 	正经
3	40	56	116 	正经
5	26	26	113 	正经
7	18	20	91 	正经
1	18	22	79 	正经
0	57	25	0 	正经
5	44	25	91 	正经
8	38	45	168 	正经
5	110	62	91 	活泼
2	46	17	120 	正经
7	67	39	137 	正经
4	19	20	0 	活泼
1	46	29	91 	活泼
1	34	23	82 	正经
1	87	31	88 	正经
14	136	56	57 	活泼
3	62	37	78 	正经
0	18	23	0 	活泼
3	47	23	28 	活泼
6	41	30	111 	正经
6	17	22	63 	正经
15	21	35	125 	正经
5	35	35	138 	正经
8	91	66	64 	活泼
7	170	82	115 	活泼
9	84	45	92 	正经
6	63	60	103 	活泼
6	70	57	0 	活泼
8	37	23	0 	活泼
4	48	36	34 	活泼
6	44	24	17 	正经
18	106	49	29 	活泼
0	15	21	122 	正经
1	3	9	83 	正经
7	24	28	138 	正经
16	106	79	83 	活泼
6	66	46	37 	正经
6	101	39	71 	活泼
21	66	64	49 	活泼
5	19	27	124 	正经
4	8	25	61 	正经
17	110	92	69 	正经
1	49	53	37 	活泼
0	6	17	106 	正经
7	38	30	138 	正经
11	140	202	56 	活泼
7	69	110	6 	正经
2	58	73	0 	活泼
6	50	42	62 	活泼
2	73	55	32 	正经
18	150	146	138 	活泼
7	71	83	84 	活泼
7	44	41	94 	正经
9	94	70	69 	正经
0	19	23	0 	正经
43	430	186	103 	正经
62	405	103	138 	正经
11	103	62	0 	活泼
8	76	59	0 	活泼
55	203	59	138 	正经
97	465	119	70 	活泼
34	318	101	65 	活泼
17	75	46	137 	正经
6	27	46	135 	正经
4	24	28	84 	正经
6	62	54	39 	活泼
4	42	72	96 	活泼
8	84	50	38 	正经
1	36	28	124 	正经
1	38	39	50 	活泼
6	58	63	43 	活泼
15	38	40	138 	正经
2	80	69	44 	活泼
2	75	39	51 	活泼
1	29	38	48 	活泼
4	43	36	61 	正经
7	92	80	25 	活泼
3	17	32	104 	正经
4	6	35	70 	正经
2	69	43	74 	活泼
3	53	59	18 	正经
2	70	93	0 	正经
6	101	78	14 	正经
0	16	16	107 	正经
5	40	27	137 	正经
2	5	14	152 	活泼
1	43	28	0 	活泼
7	65	42	81 	活泼
1	32	31	16 	活泼
23	41	160	0 	活泼
2	54	49	69 	活泼
2	38	11	0 	活泼
