3U5131,中国东方航空股份有限公司,2020/02/05 09:05:00,--,成都双流,2020/02/05 11:40:00,--,杭州萧山,取消
3U5133,中国东方航空股份有限公司,2020/02/05 21:15:00,--,上海浦东,2020/02/06 00:25:00,--,哈尔滨太平,取消
3U5134,中国东方航空股份有限公司,2020/02/05 07:15:00,--,哈尔滨太平,2020/02/05 10:25:00,--,上海浦东,取消
3U5136,中国东方航空股份有限公司,2020/02/05 21:25:00,--,昆明长水,2020/02/06 00:20:00,--,杭州萧山,取消
3U5137,中国东方航空股份有限公司,2020/02/05 14:35:00,--,昆明长水,2020/02/05 16:40:00,--,西安咸阳,取消
3U5138,中国东方航空股份有限公司,2020/02/05 17:45:00,--,西安咸阳,2020/02/05 20:15:00,--,昆明长水,取消
3U5139,中国东方航空股份有限公司,2020/02/05 08:10:00,--,昆明长水,2020/02/05 10:25:00,--,西安咸阳,取消
3U5140,中国东方航空股份有限公司,2020/02/05 18:40:00,--,西安咸阳,2020/02/05 20:55:00,--,昆明长水,取消
3U5141,中国东方航空股份有限公司,2020/02/05 08:00:00,--,昆明长水,2020/02/05 10:05:00,--,广州白云,取消
3U5142,--,2020/02/05 11:10:00,--,广州白云,2020/02/05 14:00:00,--,昆明长水,取消
3U5143,中国东方航空股份有限公司,2020/02/05 11:00:00,--,昆明长水,2020/02/05 13:10:00,--,广州白云,取消
3U5144,--,2020/02/05 14:20:00,--,广州白云,2020/02/05 17:00:00,--,昆明长水,取消
3U5145,中国东方航空股份有限公司,2020/02/05 12:50:00,--,昆明长水,2020/02/05 15:05:00,--,广州白云,取消
3U5146,中国东方航空股份有限公司,2020/02/05 16:20:00,--,广州白云,2020/02/05 18:55:00,--,昆明长水,取消
3U5148,中国东方航空股份有限公司,2020/02/05 18:10:00,2020/02/05 18:21:00,广州白云,2020/02/05 20:50:00,2020/02/05 20:38:00,昆明长水,到达
3U5149,中国东方航空股份有限公司,2020/02/05 19:00:00,--,昆明长水,2020/02/05 21:05:00,--,广州白云,取消
3U5155,--,2020/02/05 15:40:00,--,昆明长水,2020/02/05 18:20:00,--,南京禄口,取消
3U5156,--,2020/02/05 19:20:00,--,南京禄口,2020/02/05 22:30:00,--,昆明长水,取消
3U5157,中国东方航空股份有限公司,2020/02/05 09:00:00,--,昆明长水,2020/02/05 10:25:00,--,成都双流,取消
3U5158,中国东方航空股份有限公司,2020/02/05 19:40:00,--,成都双流,2020/02/05 21:25:00,--,昆明长水,取消
3U5159,中国东方航空股份有限公司,2020/02/05 10:25:00,--,昆明长水,2020/02/05 12:00:00,--,成都双流,取消
3U5160,中国东方航空股份有限公司,2020/02/05 13:15:00,--,成都双流,2020/02/05 14:45:00,--,昆明长水,取消
3U5161,中国东方航空股份有限公司,2020/02/05 19:05:00,--,昆明长水,2020/02/05 20:40:00,--,成都双流,取消
3U5163,中国东方航空股份有限公司,2020/02/05 21:20:00,--,昆明长水,2020/02/05 22:50:00,--,成都双流,取消
3U5164,中国东方航空股份有限公司,2020/02/05 14:05:00,--,成都双流,2020/02/05 15:35:00,--,昆明长水,取消
3U5166,中国东方航空股份有限公司,2020/02/05 12:00:00,--,杭州萧山,2020/02/05 15:20:00,--,昆明长水,取消
3U5184,中国东方航空股份有限公司,2020/02/05 20:50:00,2020/02/05 20:35:00,丽江三义,2020/02/05 21:50:00,2020/02/05 21:14:00,昆明长水,到达
3U5188,中国东方航空股份有限公司,2020/02/05 10:15:00,--,大理荒草坝,2020/02/05 11:20:00,--,昆明长水,取消
3U5192,中国东方航空股份有限公司,2020/02/05 19:10:00,--,保山云瑞,2020/02/05 20:15:00,--,昆明长水,取消
3U5195,中国东方航空股份有限公司,2020/02/05 15:00:00,2020/02/05 15:07:00,昆明长水,2020/02/05 16:10:00,2020/02/05 15:58:00,保山云瑞,到达
3U5196,中国东方航空股份有限公司,2020/02/05 16:55:00,2020/02/05 16:48:00,保山云瑞,2020/02/05 18:05:00,2020/02/05 17:30:00,昆明长水,到达
