3K697,新加坡捷星亚洲航空公司,2020/02/14 09:30:00,2020/02/14 10:16:00,新加坡樟宜,2020/02/14 13:35:00,2020/02/14 13:42:00,香港,到达
3K722,新加坡捷星亚洲航空公司,2020/02/14 17:10:00,2020/02/14 17:36:00,关西,2020/02/14 19:25:00,2020/02/14 19:27:00,台北桃园,到达
3K722,新加坡捷星亚洲航空公司,2020/02/14 17:10:00,2020/02/14 17:36:00,关西,2020/02/15 01:05:00,2020/02/15 00:49:00,新加坡樟宜,到达
3K722,新加坡捷星亚洲航空公司,2020/02/14 20:20:00,2020/02/14 20:29:00,台北桃园,2020/02/15 01:05:00,2020/02/15 00:49:00,新加坡樟宜,到达
3U2004,--,2020/02/14 18:40:00,--,兴义万峰林,2020/02/14 19:30:00,--,贵阳龙洞堡,取消
3U2030,--,2020/02/14 14:00:00,--,西双版纳嘎洒,2020/02/14 15:20:00,--,昆明长水,取消
3U2031,华夏航空有限公司,2020/02/14 06:35:00,2020/02/14 08:20:00,重庆江北,2020/02/14 08:55:00,2020/02/14 10:32:00,日照山字河,到达
3U2031,华夏航空有限公司,2020/02/14 06:35:00,2020/02/14 08:20:00,重庆江北,2020/02/14 11:20:00,2020/02/14 12:30:00,沈阳桃仙,到达
3U2031,华夏航空有限公司,2020/02/14 09:45:00,2020/02/14 11:12:00,日照山字河,2020/02/14 11:20:00,2020/02/14 12:30:00,沈阳桃仙,到达
3U2032,华夏航空有限公司,2020/02/14 12:20:00,2020/02/14 13:51:00,沈阳桃仙,2020/02/14 14:05:00,2020/02/14 15:22:00,日照山字河,到达
3U2032,华夏航空有限公司,2020/02/14 12:20:00,2020/02/14 13:51:00,沈阳桃仙,2020/02/14 17:40:00,2020/02/14 18:38:00,重庆江北,到达
3U2032,华夏航空有限公司,2020/02/14 14:55:00,2020/02/14 15:30:00,日照山字河,2020/02/14 17:40:00,2020/02/14 18:38:00,重庆江北,到达
3U5018,中国东方航空股份有限公司,2020/02/14 21:40:00,--,重庆江北,2020/02/14 23:15:00,--,西安咸阳,取消
