3K697,新加坡捷星亚洲航空公司,2020/02/08 09:30:00,2020/02/08 09:54:00,新加坡樟宜,2020/02/08 13:35:00,2020/02/08 13:22:00,香港,到达
3K698,新加坡捷星亚洲航空公司,2020/02/08 14:25:00,2020/02/08 14:34:00,香港,2020/02/08 18:25:00,2020/02/08 18:06:00,新加坡樟宜,到达
3U2003,--,2020/02/08 21:10:00,--,贵阳龙洞堡,2020/02/08 22:10:00,--,兴义万峰林,取消
3U2004,--,2020/02/08 23:00:00,--,兴义万峰林,2020/02/09 00:05:00,--,贵阳龙洞堡,取消
3U2014,--,2020/02/08 21:20:00,--,银川河东,2020/02/09 00:35:00,--,重庆江北,取消
3U2014,--,2020/02/08 22:55:00,--,固原六盘山,2020/02/09 00:35:00,--,重庆江北,取消
3U2021,华夏航空有限公司,2020/02/08 07:05:00,--,重庆江北,2020/02/08 08:10:00,--,毕节飞雄,取消
3U2021,华夏航空有限公司,2020/02/08 07:05:00,--,重庆江北,2020/02/08 11:00:00,--,厦门高崎,取消
3U2021,华夏航空有限公司,2020/02/08 08:55:00,--,毕节飞雄,2020/02/08 11:00:00,--,厦门高崎,取消
3U2022,华夏航空有限公司,2020/02/08 12:05:00,--,厦门高崎,2020/02/08 14:45:00,--,毕节飞雄,取消
3U2022,华夏航空有限公司,2020/02/08 12:05:00,--,厦门高崎,2020/02/08 16:30:00,--,重庆江北,取消
3U2022,华夏航空有限公司,2020/02/08 15:30:00,--,毕节飞雄,2020/02/08 16:30:00,--,重庆江北,取消
3U2029,华夏航空有限公司,2020/02/08 16:25:00,2020/02/08 16:30:00,昆明长水,2020/02/08 17:30:00,2020/02/08 17:17:00,西双版纳嘎洒,到达
3U2030,华夏航空有限公司,2020/02/08 14:00:00,2020/02/08 13:58:00,西双版纳嘎洒,2020/02/08 15:20:00,2020/02/08 14:46:00,昆明长水,到达
3U2031,华夏航空有限公司,2020/02/08 06:35:00,2020/02/08 06:39:00,重庆江北,2020/02/08 08:55:00,2020/02/08 08:35:00,日照山字河,到达
3U2031,华夏航空有限公司,2020/02/08 06:35:00,2020/02/08 06:39:00,重庆江北,2020/02/08 11:20:00,2020/02/08 11:03:00,沈阳桃仙,到达
3U2031,华夏航空有限公司,2020/02/08 09:45:00,2020/02/08 09:32:00,日照山字河,2020/02/08 11:20:00,2020/02/08 11:03:00,沈阳桃仙,到达
3U5007,中国东方航空股份有限公司,2020/02/08 15:25:00,--,西安咸阳,2020/02/08 18:00:00,--,昆明长水,取消
3U5008,中国东方航空股份有限公司,2020/02/08 19:10:00,--,昆明长水,2020/02/08 21:35:00,--,西安咸阳,取消
3U5009,中国东方航空股份有限公司,2020/02/08 12:05:00,2020/02/08 11:59:00,上海虹桥,2020/02/08 15:35:00,2020/02/08 14:52:00,成都双流,到达
3U5011,中国东方航空股份有限公司,2020/02/08 16:25:00,--,西安咸阳,2020/02/08 18:40:00,--,杭州萧山,取消
3U5014,中国东方航空股份有限公司,2020/02/08 21:10:00,--,合肥新桥,2020/02/08 23:50:00,--,成都双流,取消
3U5030,中国东方航空股份有限公司,2020/02/08 21:15:00,--,西安咸阳,2020/02/08 23:45:00,--,温州龙湾,取消
3U5031,中国东方航空股份有限公司,2020/02/08 06:10:00,2020/02/08 05:53:00,青岛流亭,2020/02/08 08:20:00,2020/02/08 07:46:00,西安咸阳,到达
3U5032,中国东方航空股份有限公司,2020/02/08 09:25:00,2020/02/08 09:29:00,西安咸阳,2020/02/08 11:45:00,2020/02/08 11:08:00,青岛流亭,到达
3U5048,中国东方航空股份有限公司,2020/02/08 09:30:00,2020/02/08 10:11:00,昆明长水,2020/02/08 12:20:00,2020/02/08 12:14:00,南京禄口,到达
3U5049,中国东方航空股份有限公司,2020/02/08 11:40:00,--,南京禄口,2020/02/08 14:55:00,--,昆明长水,取消
3U5051,中国东方航空股份有限公司,2020/02/08 12:40:00,--,南京禄口,2020/02/08 15:50:00,--,昆明长水,取消
