3K697,--,2020/02/21 09:30:00,--,新加坡樟宜,2020/02/21 13:35:00,--,香港,取消
3K698,--,2020/02/21 14:25:00,--,香港,2020/02/21 18:25:00,--,新加坡樟宜,取消
3U5007,中国东方航空股份有限公司,2020/02/21 15:25:00,--,西安咸阳,2020/02/21 18:00:00,--,昆明长水,取消
3U5012,--,2020/02/21 19:45:00,--,杭州萧山,2020/02/21 22:30:00,--,西安咸阳,取消
3U5072,--,2020/02/21 11:45:00,--,重庆江北,2020/02/21 13:45:00,--,南京禄口,取消
3U5081,中国东方航空股份有限公司,2020/02/21 10:00:00,2020/02/21 09:57:00,常州奔牛,2020/02/21 12:30:00,2020/02/21 12:12:00,重庆江北,到达
3U5160,中国东方航空股份有限公司,2020/02/21 13:15:00,2020/02/21 13:15:00,成都双流,2020/02/21 14:45:00,2020/02/21 14:29:00,昆明长水,到达
3U5203,中国东方航空股份有限公司,2020/02/21 14:10:00,2020/02/21 14:10:00,无锡硕放,2020/02/21 16:45:00,2020/02/21 16:24:00,重庆江北,到达
3U5204,中国东方航空股份有限公司,2020/02/21 17:50:00,2020/02/21 17:53:00,重庆江北,2020/02/21 20:15:00,2020/02/21 19:40:00,无锡硕放,到达
3U606,--,2020/02/21 21:25:00,--,悉尼金斯福德·史密斯,2020/02/22 05:00:00,--,重庆江北,取消
3U606,--,2020/02/21 21:25:00,--,悉尼金斯福德·史密斯,2020/02/22 11:10:00,--,乌鲁木齐地窝堡,取消
3U8088,--,2020/02/21 20:25:00,--,关西,2020/02/22 00:35:00,--,成都双流,取消
3U8231,四川航空股份有限公司,2020/02/21 19:20:00,2020/02/21 19:19:00,重庆江北,2020/02/21 21:40:00,--,青岛流亭,取消
3U8232,四川航空股份有限公司,2020/02/21 22:50:00,--,青岛流亭,2020/02/22 01:55:00,--,重庆江北,取消
3U8322,--,2020/02/21 16:45:00,--,乌鲁木齐地窝堡,2020/02/21 20:10:00,--,西安咸阳,取消
3U8322,--,2020/02/21 21:20:00,--,西安咸阳,2020/02/22 00:15:00,--,哈尔滨太平,取消
3U8365,四川航空股份有限公司,2020/02/21 07:50:00,2020/02/21 07:59:00,昆明长水,2020/02/21 10:45:00,2020/02/21 10:18:00,太原武宿,到达
