name	area	block	address	sale_num	build_year	mid_price	image	url	all_num
学府首座	碑林区	西安交通大学	兴庆南路9号	11	2013年	18715	https://pic1.ajkimg.com/display/ajk/d820e4ae1e454945472957c09be53960/180x135c.jpg	https://m.anjuke.com/xa/community/336814/	2813户
南门国际	碑林区	南门	体育馆南路18号	48	2010年	15207	https://pic1.ajkimg.com/display/ajk/9e82913d3d9cae98f38ba88b11bcde23/180x135c.jpg	https://m.anjuke.com/xa/community/875534/	1070户
保吉巷小区	碑林区	环城南路	南广济街35号	31	1999年	11110	https://pic1.ajkimg.com/display/ajk/94756097f31f5301c8eb6d69450a185b/180x135c.jpg	https://m.anjuke.com/xa/community/303599/	1029户
中国银行家属院	碑林区	西工大	建设西路108号	11	2010年	10181	https://pic1.ajkimg.com/display/ajk/d73bb9221315582067ac24e6f8800047/180x135c.jpg	https://m.anjuke.com/xa/community/422526/	117户
曼城国际	碑林区	太乙路	南二环路,近太乙路	61	2012年	16826	https://pic1.ajkimg.com/display/ajk/e8ba6f7696905b9e8813c79fb002b0ea/180x135c.jpg	https://m.anjuke.com/xa/community/274424/	1362户
常春藤花园(南区)	碑林区	西安交通大学	兴庆南路	40	2015年	21793	https://pic1.ajkimg.com/display/ajk/12386d78ac0613bd485e6ec981a22bf5/180x135c.jpg	https://m.anjuke.com/xa/community/308402/	1512户
铁路局家属院	碑林区	友谊东路	友谊东路	11	2000年	19525	https://pic1.ajkimg.com/display/ajk/e4552c839d233806b23a597092bccce8/180x135c.jpg	https://m.anjuke.com/xa/community/580341/	1336户
西安铁路信号工厂家属区	碑林区	西安交通大学	金花南路39号	26	2000年	11495	https://pic1.ajkimg.com/display/ajk/0d97627932fed0dcc9447e0aab1c87e0/180x135c.jpg	https://m.anjuke.com/xa/community/305760/	1860户
自由自宅	碑林区	文艺路	文艺南路69号	86	2009年	14192	https://pic1.ajkimg.com/display/ajk/2b2c838d1964b733114fe3f3de9a5ac3/180x135c.jpg	https://m.anjuke.com/xa/community/274828/	534户
太和公园人家	碑林区	长乐坊	金花北路	18	2011年	10314	https://pic1.ajkimg.com/display/ajk/aa0056ef3c3046334184435f6e933f8c/180x135c.jpg	https://m.anjuke.com/xa/community/323756/	645户
大洋时代国际	碑林区	西工大	二环南路西段	24	2007年	12929	https://pic1.ajkimg.com/display/ajk/95eb91968cea5269fdde6a96fa6aef71/180x135c.jpg	https://m.anjuke.com/xa/community/879529/	562户
长征左邻右舍(西区)	碑林区	李家村	建西街138号	44	2005年	12448	https://pic1.ajkimg.com/display/ajk/e4b0da6beb8fd1cc1c83772dda3f2ca6/180x135c.jpg	https://m.anjuke.com/xa/community/831301/	330户
文南小区	碑林区	文艺路	文艺南路110号	32	1998年	10168	https://pic1.ajkimg.com/display/ajk/2dd8ff8139b4be799307d13ea8214e6b/180x135c.jpg	https://m.anjuke.com/xa/community/299954/	190户
尊域	碑林区	边家村	太白北路96号	24	2010年	16681	https://pic1.ajkimg.com/display/ajk/211f0efde5cde03dcb4c48851efcd4bf/180x135c.jpg	https://m.anjuke.com/xa/community/353660/	454户
建东街海联小区	碑林区	太乙路	建东街49号	24	1998年	10507	https://pic1.ajkimg.com/display/ajk/ab2697443a1fe8636191b7d0308fcb2d/180x135c.jpg	https://m.anjuke.com/xa/community/274824/	462户
兰蒂斯城(一期)	碑林区	西安交通大学	北沙路9号	36	2013年	16647	https://pic1.ajkimg.com/display/ajk/b1fbcd40b7d600d7a9a2b373b4b06e44/180x135c.jpg	https://m.anjuke.com/xa/community/274909/	2175户
瑞鑫摩天城	碑林区	边家村	南二环	8	2009年	14785	https://pic1.ajkimg.com/display/ajk/17b28a76bc9f114bdd3bd793c0a7e577/180x135c.jpg	https://m.anjuke.com/xa/community/274732/	1402户
兰蒂斯城(东区)	碑林区	西安交通大学	北沙路11号	56		15355	https://pic1.ajkimg.com/display/ajk/53ff97712cc6659354fa67eb5c59ea03/180x135c.jpg	https://m.anjuke.com/xa/community/1006881/	1345户
长乐坊小区	碑林区	长乐坊	伍道十字南街	1	2012年	12898	https://pic1.ajkimg.com/display/ajk/9e0a2f937597526bdaa3643b8f867164/180x135c.jpg	https://m.anjuke.com/xa/community/301018/	3213户
长安大街3号	碑林区	体育场	南二环东段521号	2	2016年	13237	https://pic1.ajkimg.com/display/ajk/bb93c9f56ae3db3dd48e9c02ede38be0/180x135c.jpg	https://m.anjuke.com/xa/community/322763/	7103户
西安电力高等专科学校住宅区	碑林区	长乐坊	永乐路18号	13	2002年	10025	https://pic1.ajkimg.com/display/ajk/3df711227c6a56390ad92227ba80a2c0/180x135c.jpg	https://m.anjuke.com/xa/community/830385/	1090户
宏信国际花园	碑林区	环城南路	环城南路东段334号	8	2012年	18165	https://pic1.ajkimg.com/display/ajk/47b66932302029eb5e19f991f6171965/180x135c.jpg	https://m.anjuke.com/xa/community/302974/	3140户
际华西苑	碑林区	何家村	兴化东巷	23	2012年	13416	https://pic1.ajkimg.com/display/ajk/7cb0150d538173b79d44d52c7ff94ff0/180x135c.jpg	https://m.anjuke.com/xa/community/1036931/	713户
中铁一局建国路小区	碑林区	长乐坊	建国路57号	16	2015年	13700	https://pic1.ajkimg.com/display/ajk/5335f80d976397f4a9b45cb51ce4a8b8/180x135c.jpg	https://m.anjuke.com/xa/community/831237/	174户
龙渠堡小区	碑林区	东关正街	龙渠堡8号	44	2002年	9775	https://pic1.ajkimg.com/display/ajk/7637357bcbaa75e8a14d85ffecc06716/180x135c.jpg	https://m.anjuke.com/xa/community/300459/	264户
白庙小区	碑林区	太白立交	太白路	9	2015年	11083	https://pic1.ajkimg.com/display/ajk/cb1cca4838653bb27c2548283c9d92ed/180x135c.jpg	https://m.anjuke.com/xa/community/274803/	1848户
陕歌家属院	碑林区	南稍门	文艺北路	13	2006年	11386	https://pic1.ajkimg.com/display/ajk/b715948254b5bddab110fddde8b81e51/180x135c.jpg	https://m.anjuke.com/xa/community/829950/	713户
和平花园	碑林区	文艺路	友谊东路	60	1998年	11343	https://pic1.ajkimg.com/display/ajk/73a799c9748b03775fbbfe4de00195af/180x135c.jpg	https://m.anjuke.com/xa/community/297438/	620户
友谊东路永宁小区	碑林区	南稍门	物资路26号	35	1998年	10177	https://pic1.ajkimg.com/display/ajk/2300164508ecc01ae2e29d7475093d63/180x135c.jpg	https://m.anjuke.com/xa/community/331540/	229户
学院国际	碑林区	李家村	文艺南路49号	61		14963	https://pic1.ajkimg.com/display/ajk/d9af655a4bfee7c17b54a882f6da0904/180x135c.jpg	https://m.anjuke.com/xa/community/951703/	407户
